"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13350","98.3","98.85","71.6","75.9","75.45","75.9","176","1772.62","10.42","8325","3225","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13400","121.05","121.05","79.4","83.7","84.5","83.7","5848","59164.56","392.16","660150","85275","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13450","119.15","119.2","88","93.05","93.9","93.05","487","4948.54","35.93","18600","10800","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13500","139.9","139.9","97.5","102.6","103","102.6","23788","242798.1","1944.6","2043525","267900","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13550","140.25","140.25","107.4","117.15","112.95","117.15","406","4163.64","37.66","26025","5250","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13600","153.85","159.35","118.5","128.05","124.4","128.05","10786","111097.17","1079.97","1194450","293325","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13650","170.15","170.15","130.7","142.5","136.85","142.5","761","7875.67","84.93","37275","16725","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13700","181","189.45","143.55","151.45","150","151.45","9742","101244.72","1145.67","673575","13350","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13750","201.35","204.7","157.55","165.8","164.6","165.8","334","3488.81","44.44","23325","2775","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13800","222.6","222.6","173","181.65","180","181.65","7536","79076.59","1078.99","769500","73650","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13850","238.65","238.65","188.2","197.65","197.65","197.65","540","5693.1","83.85","31800","8700","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13900","261.25","262.7","207.85","217.4","217.45","217.4","9147","96916.98","1559.51","1128975","126450","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","PE","13950","272.55","278.5","225.8","235.45","235.55","235.45","826","8793.45","151.43","34725","4725","14018.5"
