"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","8550","2.25","2.25","1.45","1.55","1.5","1.55","51","327.11",".07","6300","750","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","8600","2.7","2.7","1.35","1.55","1.35","1.55","206","1328.96",".26","64200","7950","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","8650","0","0","0","31.05","0","0","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","8700","0","0","0","2","2","0","0","0","0","300","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","8750","0","0","0","38.9","0","0","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","8800","0","0","0","43.4","0","0","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","8850","0","0","0","48.3","0","0","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","8900","3.95","4","3","3","3","3","79","527.51",".19","5850","3975","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","8950","0","0","0","59.4","0","0","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9000","3.95","4","3.4","3.6","3.45","3.6","3309","22344.86","9.11","1416225","-17400","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9050","0","0","0","72.4","0","0","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9100","4.25","4.25","3.5","3.65","3.65","3.65","165","1126.57",".45","14925","-1875","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9150","0","0","0","87.45","0","0.05","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9200","4.5","4.9","4.25","4.4","4.25","4.4","28","193.3",".1","26925","1275","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9250","0","0","0","12.95","12.95","0.05","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9300","5.5","5.5","4.8","5.05","5.1","5.05","176","1228.28",".68","45375","-300","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9350","0","0","0","124.45","0","0.1","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9400","5.55","5.9","4.9","5.15","5.3","5.15","731","5156.5","2.95","225750","-4575","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9450","0","0","0","146.8","0","0.15","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9500","6.3","7","5.55","5.75","5.8","5.75","5937","42328.56","27.44","1341525","100500","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9550","0","0","0","172.2","0","0.3","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9600","6.55","7.75","5.7","5.95","5.8","5.95","5046","36356.71","25.51","384900","-92775","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9650","0","0","0","199.65","0","0.6","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9700","8.9","10.05","5.9","6.25","6.4","6.25","7692","56003.05","43.75","810225","216450","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9750","6.55","6.55","6.55","6.55","6.55","6.55","2","14.63",".01","525","150","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9800","10.4","13.05","7.6","8.1","7.65","8.1","5178","38099.34","41.04","726075","87525","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9850","8","10.5","8","10.5","10.5","10.5","3","22.18",".02","150","75","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9900","13.75","16.45","9.5","10.3","10.1","10.3","5122","38082.57","51.72","463200","13800","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","9950","18.5","18.55","12.55","12.55","12.55","12.55","6","44.85",".07","2625","75","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10000","18.9","22","13.1","13.95","13.3","13.95","22123","166220.92","298.42","2942625","-83175","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10050","18","25","15.2","16.4","15.5","16.4","34","256.76",".49","2700","375","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10100","22.9","28.2","16.35","17.75","16.5","17.75","8880","67415.59","149.59","682650","-9675","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10150","28.1","32.25","18.3","18.7","18.3","18.7","18","137.41",".39","1350","300","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10200","28.5","37.55","21.5","23.35","22.55","23.35","13845","106218.31","304.06","1174950","-7275","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10250","40.5","44.95","25.15","27.5","26.55","27.5","213","1643.22","5.78","15000","5100","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10300","35.5","48.35","28.5","30.9","29.2","30.9","20477","158782.96","598.13","1186950","-109800","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10350","52","58","30.15","35.15","34","35.15","283","2205.57","8.78","18975","-825","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10400","49.95","62.7","37.1","39.55","38.2","39.55","29948","234730.12","1135.72","1748700","-51225","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10450","51.6","72.3","43","45.25","43.7","45.25","907","7147.4","38.79","25725","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","10500","67.8","81.45","50","52.15","50.45","52.15","59497","471577.86","3038.99","3585675","268200","10910.1"
