"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","11750","3.75","3.9","3","3.55","3.75","3.55","13","114.6",".03","675","300","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","11800","2.5","3.1","2.45","3","2.95","3","3311","29309.05","6.7","247350","-6750","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","11850","2.5","3.35","2.05","3.35","3.35","3.35","8","71.12",".02","825","75","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","11900","2.5","2.5","1.9","2.05","1.9","2.05","498","4445.4",".75","55050","-2475","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","11950","0.8","2.5","0.75","2.3","2.3","2.3","6","53.78",".01","1950","225","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12000","1.85","1.9","1.65","1.85","1.9","1.85","4972","44754.63","6.63","706875","-17475","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12050","0","0","0","1.8","1.8","5.6","0","0","0","75","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12100","2.1","2.1","1.25","1.4","1.4","1.4","54","490.11",".06","17100","2250","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12150","0","0","0","4.3","4.3","3.55","0","0","0","75","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12200","0.9","1.5","0.9","1.05","1.2","1.05","47","430.09",".04","32325","225","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12250","0","0","0","42.8","0","2.2","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12300","0.85","1.1","0.85","1.1","1.1","1.1","3","27.68","0","20850","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12350","0","0","0","1.5","1.5","1.35","0","0","0","75","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12400","0.65","0.7","0.6","0.7","0.65","0.7","3377","31407.71","1.61","562575","-13950","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","12450","1.95","1.95","0.3","0.4","0.4","0.4","58","541.6",".02","4725","3450","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","8550","0","0","0","1671.65","0","2410","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","8600","2253.85","2346","2231.95","2335.7","2339","2335.7","158","1292.7","273.6","64200","9375","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","8650","0","0","0","1678.4","0","2310.6","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","8700","0","0","0","1633.15","0","2260.9","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","8750","0","0","0","1588.25","0","2211.2","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","8800","0","0","0","1543.75","0","2161.45","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","8850","0","0","0","1499.65","0","2111.75","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","8900","0","0","0","1455.95","0","2062.05","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","8950","0","0","0","1412.75","0","2012.35","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","9000","1904.2","1951.1","1838.35","1942.65","1951","1942.65","458","3736.98","645.48","1096950","-8850","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","9050","0","0","0","1327.7","0","1912.95","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","9100","0","0","0","1710.8","1710.8","1863.2","0","0","0","6600","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","9150","0","0","0","1244.75","0","1813.5","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","9200","0","0","0","1712.7","1712.7","1763.8","0","0","0","6975","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","9250","0","0","0","1164.05","0","1714.1","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","9300","0","0","0","1608.1","1608.1","1664.4","0","0","0","600","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","CE","9350","0","0","0","1085.75","0","1614.75","0","0","0","0","0","10910.1"
